DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,0,4,0
03/02/2020 12:00:00 AM,0,21,0
03/03/2020 12:00:00 AM,2,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,18,0
03/09/2020 12:00:00 AM,58,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,155,90,1
03/12/2020 12:00:00 AM,357,92,0
03/13/2020 12:00:00 AM,620,157,0
03/14/2020 12:00:00 AM,644,159,2
03/15/2020 12:00:00 AM,1037,189,5
03/16/2020 12:00:00 AM,2123,317,8
03/17/2020 12:00:00 AM,2455,359,8
03/18/2020 12:00:00 AM,2984,472,21
03/19/2020 12:00:00 AM,3715,559,24
03/20/2020 12:00:00 AM,4014,665,47
03/21/2020 12:00:00 AM,2640,700,44
03/22/2020 12:00:00 AM,2580,725,50
03/23/2020 12:00:00 AM,3571,1037,82
03/24/2020 12:00:00 AM,4506,1153,95
03/25/2020 12:00:00 AM,4865,1303,123
03/26/2020 12:00:00 AM,5051,1455,190
03/27/2020 12:00:00 AM,5130,1392,218
03/28/2020 12:00:00 AM,3478,1364,274
03/29/2020 12:00:00 AM,3560,1406,292
03/30/2020 12:00:00 AM,6132,1717,326
03/31/2020 12:00:00 AM,5473,1695,384
04/01/2020 12:00:00 AM,5464,1587,447
04/02/2020 12:00:00 AM,5768,1618,499
04/03/2020 12:00:00 AM,5676,1601,498
04/04/2020 12:00:00 AM,3869,1344,510
04/05/2020 12:00:00 AM,3794,1328,580
04/06/2020 12:00:00 AM,6378,1724,576
04/07/2020 12:00:00 AM,6065,1605,597
04/08/2020 12:00:00 AM,5585,1541,569
04/09/2020 12:00:00 AM,5074,1429,561
04/10/2020 12:00:00 AM,4520,1336,539
04/11/2020 12:00:00 AM,3733,1097,543
04/12/2020 12:00:00 AM,2890,995,573
04/13/2020 12:00:00 AM,3311,1214,571
04/14/2020 12:00:00 AM,4148,1088,512
04/15/2020 12:00:00 AM,3878,982,455
04/16/2020 12:00:00 AM,3528,883,414
04/17/2020 12:00:00 AM,3581,902,384
04/18/2020 12:00:00 AM,2172,663,392
04/19/2020 12:00:00 AM,2346,593,399
04/20/2020 12:00:00 AM,3794,725,364
04/21/2020 12:00:00 AM,3064,661,323
04/22/2020 12:00:00 AM,3464,599,312
04/23/2020 12:00:00 AM,2844,533,332
04/24/2020 12:00:00 AM,2538,550,316
04/25/2020 12:00:00 AM,1595,403,265
04/26/2020 12:00:00 AM,1003,376,247
04/27/2020 12:00:00 AM,2297,444,271
04/28/2020 12:00:00 AM,2731,444,228
04/29/2020 12:00:00 AM,2342,408,240
04/30/2020 12:00:00 AM,2025,345,222
05/01/2020 12:00:00 AM,1889,352,209
05/02/2020 12:00:00 AM,1060,263,192
05/03/2020 12:00:00 AM,785,256,178
05/04/2020 12:00:00 AM,1550,309,159
05/05/2020 12:00:00 AM,1513,283,151
05/06/2020 12:00:00 AM,1402,257,150
05/07/2020 12:00:00 AM,1235,252,142
05/08/2020 12:00:00 AM,1081,253,131
05/09/2020 12:00:00 AM,658,182,100
05/10/2020 12:00:00 AM,461,153,102
05/11/2020 12:00:00 AM,1233,246,103
